consent,ai_tool_use_frequency,values_understanding,values_explainability,values_stability,values_confidence,values_top3_multi,what_matters_most,life_meaning,life_fulfilment,life_direction,life_uncertainty,future_motivation,behaviour_alignment,behaviour_conflict,behaviour_followthrough,identity_struggle,values_misaligned_areas_multi,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh,wellbeing_interest,selftrust_decisions,selftrust_influence,selftrust_doubt,selftrust_compass,digital_noise_focus,digital_noise_values,digital_noise_identity,ai_influence_decisions,ai_prefer_self_judgement,ai_society_meaning,ai_train_values,ai_understand_values,ai_values_multi,age_group,work_status,education_level,country,gender,emotional_wellbeing,values_top3_multi_other,values_misaligned_areas_multi_other,ai_values_multi_other
yes,often,7,7,7,7,family;compassion;responsibility,Family,7,6,6,2,6,7,2,2,2,work_career,4,4,4,4,4,6,2,2,2,2,2,2,3,6,4,6,6,fairness;respect;responsibility,25_34,employed_full_time,bachelors_degree,us,man,6,,,
yes,sometimes,6,6,6,6,family;honesty_integrity;health,Peace of mind,4,2,1,6,1,4,4,6,6,time_focus;work_career;purpose_direction,2,2,1,1,2,5,2,5,4,5,2,4,4,6,5,5,6,honesty;fairness;non_harm,25_34,not_currently_working,high_school,us,man,4,,,
yes,everyday,6,6,6,6,family;honesty_integrity;health,My children,7,5,5,3,6,5,6,6,4,health;time_focus;relationships,4,4,3,4,4,6,5,5,5,5,5,6,5,5,6,6,6,honesty;non_harm;transparency,25_34,employed_full_time,some_university_college,uk,woman,6,,,
yes,rarely,5,5,5,7,family;honesty_integrity;achievement_growth,The people that I love.,7,5,5,1,5,4,3,1,1,health;time_focus;relationships,4,4,3,3,4,6,1,1,1,4,6,6,6,6,7,4,4,non_harm;transparency;accountability,25_34,not_currently_working,bachelors_degree,us,woman,4,,,
yes,very_often,6,6,7,5,compassion;creativity;responsibility,Trying to do no harm.,4,3,3,3,2,4,3,2,5,relationships,2,3,2,1,2,5,1,5,2,6,5,5,3,6,6,5,6,honesty;respect;non_harm,35_44,self_employed,postgraduate_degree,uk,man,3,,,
yes,rarely,7,7,2,6,honesty_integrity;compassion;creativity,love,6,6,7,7,7,6,7,6,2,time_focus;digital_habits,4,4,5,5,5,6,1,1,1,5,6,5,1,7,2,6,2,honesty;empathy;respect,35_44,self_employed,some_university_college,uk,man,6,,,
yes,everyday,6,6,5,5,family;security_stability;health,Health and stable income,4,4,2,7,2,4,6,2,5,health;work_career;finances,2,2,2,2,1,2,1,5,5,2,3,5,5,7,5,5,7,responsibility;human_wellbeing;non_harm,35_44,self_employed,some_university_college,ca,woman,3,,,
yes,often,6,4,5,5,family;health;adventure,Experience,3,3,4,5,5,4,2,2,2,work_career,2,3,2,1,2,5,2,2,2,3,4,5,2,5,6,7,7,empathy;human_wellbeing;non_harm,25_34,employed_full_time,postgraduate_degree,uk,man,4,,,
yes,rarely,6,6,6,6,family;security_stability;health,Being happy/content,4,3,3,6,3,4,5,6,6,health;relationships;work_career;finances;purpose_direction,2,3,1,2,4,5,5,4,5,5,5,5,1,7,7,7,7,honesty;non_harm;transparency,18_24,not_currently_working,bachelors_degree,uk,woman,4,,,
yes,often,7,7,5,7,family;honesty_integrity;security_stability,My family mean the most to me,7,7,7,1,6,7,1,1,1,none,4,4,3,4,5,6,4,2,1,1,1,1,3,5,3,5,6,honesty;non_harm;accountability,45_54,employed_full_time,high_school,uk,man,6,,,
yes,everyday,5,7,4,2,honesty_integrity;independence;creativity,Peace of mind,1,6,7,7,7,7,2,7,7,relationships,2,2,3,1,3,1,1,5,7,7,7,7,7,4,1,4,7,empathy;non_harm;transparency,25_34,not_currently_working,high_school,ca,man,4,,,
yes,sometimes,5,5,4,4,family;health;adventure,"My family, being there for them and being able to support them anyway that I can",5,4,3,5,4,5,6,5,5,work_career,2,3,3,3,4,3,4,6,4,6,5,5,4,6,7,4,3,honesty;fairness;non_harm,25_34,not_currently_working,high_school,uk,man,3,,,
yes,never,6,5,2,6,honesty_integrity;compassion;responsibility,Family,3,4,1,4,2,6,2,4,4,health;work_career;purpose_direction,3,2,1,2,2,5,3,6,2,6,6,2,1,7,6,4,6,honesty;non_harm;accountability,35_44,not_currently_working,bachelors_degree,uk,woman,4,,,
yes,everyday,6,6,7,7,family;honesty_integrity;health,family,7,7,7,1,6,6,1,1,1,digital_habits;finances,5,5,4,4,5,7,2,1,1,3,6,4,4,6,7,1,7,honesty;fairness;respect,25_34,employed_part_time,some_university_college,uk,woman,7,,,
yes,often,6,7,6,7,family;honesty_integrity;security_stability,My Family,6,5,6,2,5,5,4,5,5,finances,4,3,4,2,3,5,4,2,3,2,2,3,2,6,3,7,7,honesty;human_wellbeing;non_harm,45_54,employed_full_time,some_university_college,ie,man,4,,,
yes,often,7,7,7,5,family;honesty_integrity;compassion,Family,5,5,5,6,4,6,3,6,6,health;relationships,3,3,3,2,3,5,6,6,4,4,5,4,3,5,3,6,6,honesty;respect;transparency,45_54,employed_part_time,bachelors_degree,uk,woman,5,,,
yes,often,7,7,7,7,family;honesty_integrity;faith_spirituality,My whole famly and my pets are my world,5,6,7,6,6,6,6,6,7,none,3,5,3,4,4,6,6,7,5,5,2,7,6,5,5,5,6,honesty;human_wellbeing;transparency,55_65,employed_full_time,high_school,uk,woman,6,,,
yes,everyday,7,7,4,7,family;responsibility;faith_spirituality,Faith,6,5,4,2,5,4,1,5,5,time_focus;digital_habits,3,4,5,4,5,7,2,2,5,6,5,3,1,3,6,7,7,empathy;responsibility;human_wellbeing,25_34,not_currently_working,bachelors_degree,ca,woman,5,,,
yes,sometimes,6,6,6,6,family;health;compassion,The health and safety of my family and those around me (extended to the environment/ ecology as well).,6,5,4,4,4,4,2,1,4,time_focus;work_career,4,4,3,3,3,6,4,2,1,4,3,2,5,6,5,6,6,honesty;empathy;non_harm,35_44,employed_part_time,bachelors_degree,ca,woman,6,,,
yes,everyday,7,7,6,7,family;security_stability;compassion,"My daughter, and being able to provide a secure life for her, teaching her to always be compassionate and kind to others, especially those who are less fortunate than us.",6,5,6,1,6,6,1,2,2,work_career;finances,4,3,3,2,3,6,4,4,2,3,3,2,1,4,3,5,5,empathy;responsibility;non_harm,35_44,employed_full_time,bachelors_degree,uk,woman,5,,,
yes,occasionally,5,6,6,5,honesty_integrity;achievement_growth;compassion,Integrity,6,6,4,5,4,5,2,3,3,digital_habits;purpose_direction,3,2,2,4,3,6,4,5,3,7,6,7,4,6,7,7,7,empathy;responsibility;human_wellbeing,35_44,self_employed,postgraduate_degree,uk,woman,5,,,
yes,rarely,5,6,7,6,family;independence;creativity,Family. I have given my life to them so far.,3,5,2,2,3,5,6,7,7,relationships;finances;purpose_direction,4,4,3,2,3,2,6,5,7,7,7,7,1,7,7,6,7,honesty;fairness;responsibility,35_44,employed_full_time,bachelors_degree,uk,woman,3,,,
yes,everyday,5,6,4,5,honesty_integrity;compassion;responsibility,being thoughtful and supportive to everyone,6,5,6,4,6,6,2,5,6,time_focus;finances,4,4,2,3,3,5,2,3,2,5,3,2,5,6,6,7,6,honesty;empathy;fairness,45_54,employed_full_time,bachelors_degree,uk,man,6,,,
yes,everyday,6,6,5,6,family;achievement_growth;independence,My health.,7,7,6,1,7,7,1,1,1,health;relationships;work_career;purpose_direction,4,5,4,4,5,7,2,1,1,3,3,2,4,5,2,7,7,honesty;responsibility;human_wellbeing,35_44,employed_full_time,some_university_college,us,man,6,,,
yes,often,7,7,6,7,family;achievement_growth;health,Family.,7,7,7,1,7,7,1,1,1,health;time_focus;relationships;work_career;digital_habits;finances;purpose_direction,5,5,5,5,5,7,5,2,2,2,2,2,5,6,4,6,5,honesty;human_wellbeing;accountability,55_65,employed_full_time,some_university_college,uk,woman,7,,,
yes,everyday,7,7,7,7,family;achievement_growth;security_stability,My family's safety and security matters most to me in life.,7,7,7,1,7,7,1,2,3,digital_habits,5,5,5,5,5,7,2,2,2,6,4,4,5,6,4,5,5,honesty;transparency;accountability,35_44,employed_full_time,postgraduate_degree,us,man,7,,,
yes,sometimes,5,6,6,7,family;security_stability;health,Family,6,7,7,2,5,7,2,3,2,none,4,4,3,3,3,7,3,2,2,5,2,3,3,6,3,3,3,honesty;responsibility;human_wellbeing,35_44,employed_full_time,bachelors_degree,uk,man,6,,,
yes,sometimes,6,6,6,7,family;health;faith_spirituality,Family,6,6,5,5,6,5,2,3,3,health;relationships;digital_habits,4,4,3,3,4,6,1,2,2,5,2,2,2,7,6,6,6,honesty;empathy;respect,25_34,employed_part_time,some_university_college,ca,man,6,,,
yes,everyday,6,6,5,7,family;security_stability;health,My Family,6,6,7,2,7,6,5,6,5,time_focus;digital_habits;finances,4,4,4,4,4,7,5,6,4,7,6,5,6,6,2,4,4,honesty;responsibility;non_harm,25_34,employed_full_time,bachelors_degree,us,man,6,,,
yes,rarely,7,7,6,7,family;honesty_integrity;faith_spirituality,Being there for my future wife,7,7,6,1,7,7,2,1,7,none,5,4,4,4,5,7,2,2,6,1,1,1,2,7,6,2,5,fairness;transparency;accountability,25_34,employed_full_time,bachelors_degree,us,man,7,,,
yes,often,6,5,7,5,family;honesty_integrity;health,not contradicting one's own set of morals for empty personal gain,4,5,2,5,5,6,5,3,5,relationships;digital_habits;finances,4,4,5,2,4,6,1,2,1,5,5,2,4,5,3,5,5,honesty;responsibility;transparency,25_34,self_employed,some_university_college,ca,man,5,,,
yes,everyday,5,6,4,6,security_stability;health;independence,Be self reliant and not be a burden on anyone,5,5,5,3,5,6,5,7,7,health;time_focus;relationships;work_career,3,4,2,2,3,6,1,7,4,7,7,5,4,4,6,7,7,honesty;non_harm;accountability,45_54,self_employed,bachelors_degree,au,man,5,,,
yes,sometimes,3,5,6,2,security_stability;independence;creativity,"Freedom, having a choice and helping others.",2,3,2,4,2,4,4,6,6,work_career;purpose_direction,2,3,2,2,3,3,3,5,5,4,1,4,1,6,5,6,4,responsibility;non_harm;accountability,25_34,not_currently_working,high_school,uk,woman,3,,,
yes,everyday,5,5,5,5,family;honesty_integrity;achievement_growth,family and friends,6,6,6,6,6,5,5,5,3,work_career;digital_habits;purpose_direction,4,4,4,4,4,5,2,4,4,6,6,5,5,5,4,4,5,responsibility;non_harm;transparency,25_34,employed_full_time,bachelors_degree,uk,woman,5,,,
yes,occasionally,7,7,6,7,family;honesty_integrity;security_stability,Family,6,6,7,2,5,6,3,2,1,none,4,3,4,3,3,6,3,2,2,2,1,1,1,6,7,7,7,honesty;responsibility;non_harm,over_65,other,some_university_college,ca,woman,6,,,
yes,occasionally,5,5,6,6,family;security_stability;health,Being healthy for me to achieve my goals.,6,4,6,5,5,5,6,7,5,health;time_focus;relationships;purpose_direction,4,4,3,2,3,5,4,5,4,5,4,3,5,5,6,6,6,fairness;non_harm;transparency,18_24,employed_part_time,some_university_college,uk,man,5,,,
yes,sometimes,6,5,6,6,family;honesty_integrity;compassion,Family and friends,5,5,3,6,4,5,3,4,5,health;finances;purpose_direction,4,4,4,1,3,5,3,3,2,3,2,5,2,6,7,7,7,honesty;human_wellbeing;non_harm,25_34,employed_full_time,high_school,uk,man,5,,,
yes,sometimes,5,6,5,5,honesty_integrity;responsibility;adventure,To stay healthy and active in order to pursue hobbies and at the same time contribute to society by giving something back.,6,5,6,3,6,6,3,4,3,none,4,3,2,3,4,6,4,2,3,5,4,3,5,4,3,6,6,honesty;responsibility;transparency,over_65,not_currently_working,high_school,uk,man,6,,,
yes,very_often,7,6,6,7,family;honesty_integrity;security_stability,My family & friends,6,6,6,2,6,7,5,5,2,health;digital_habits,5,4,4,3,3,6,2,2,1,6,3,5,4,5,5,7,6,honesty;fairness;human_wellbeing,25_34,employed_full_time,bachelors_degree,uk,man,7,,,
yes,occasionally,4,5,4,5,family;security_stability;health,"My children, my family and friendships. My job, dancing and music",5,5,5,4,5,5,3,2,3,health;relationships;digital_habits,3,3,3,2,3,6,2,2,3,5,4,3,3,6,3,5,5,non_harm;transparency;accountability,35_44,employed_part_time,bachelors_degree,uk,woman,4,,,
yes,occasionally,7,6,6,7,family;honesty_integrity;health,Family,7,6,6,2,5,7,1,2,1,digital_habits,5,4,4,4,4,6,2,2,1,1,1,1,1,4,4,4,5,non_harm;transparency;accountability,35_44,employed_part_time,some_university_college,uk,woman,7,,,
yes,often,7,7,7,6,family;security_stability;independence,Family,7,7,7,1,7,6,2,2,2,digital_habits,4,4,5,4,4,7,7,1,3,7,5,7,2,5,6,4,5,honesty;responsibility;human_wellbeing,55_65,employed_full_time,bachelors_degree,us,woman,7,,,
yes,sometimes,7,7,7,7,family;honesty_integrity;compassion,Living my best life,7,7,7,2,7,6,2,2,1,none,4,4,4,2,5,6,2,4,2,5,3,1,3,6,4,2,3,responsibility;non_harm;transparency,55_65,employed_part_time,bachelors_degree,uk,woman,6,,,
yes,often,7,7,5,7,achievement_growth;security_stability;health,Personal growth,7,7,7,1,7,7,1,1,1,time_focus,4,4,4,5,5,7,4,1,1,1,1,1,1,7,4,5,7,honesty;human_wellbeing;non_harm,25_34,employed_full_time,bachelors_degree,us,man,6,,,
yes,often,7,7,7,7,family;honesty_integrity;responsibility,Family,6,6,6,2,5,6,1,6,6,health;time_focus;digital_habits;finances,4,4,3,2,3,6,6,3,1,7,7,7,7,5,7,7,7,human_wellbeing;non_harm;transparency,35_44,employed_part_time,postgraduate_degree,uk,woman,4,,,
yes,often,5,6,6,5,family;honesty_integrity;health,my family,5,5,4,3,5,5,1,4,4,work_career,4,4,2,2,3,6,3,1,2,2,1,1,1,7,5,6,4,honesty;fairness;transparency,55_65,not_currently_working,high_school,uk,woman,7,,,
yes,everyday,7,7,4,7,family;honesty_integrity;responsibility,To be happy and do what makes me happy and also help some people along the way,7,7,7,1,7,6,1,1,1,none,5,5,5,5,5,7,7,1,1,4,3,4,5,6,7,7,7,honesty;responsibility;accountability,25_34,employed_full_time,bachelors_degree,us,man,7,,,
yes,sometimes,6,7,5,6,security_stability;health;faith_spirituality,Faith,5,4,5,3,4,3,5,4,5,health;digital_habits,2,3,2,2,3,5,3,5,4,5,5,5,4,4,3,6,7,honesty;human_wellbeing;non_harm,55_65,not_currently_working,some_university_college,ca,man,4,,,
yes,very_often,5,5,4,6,family;security_stability;health,Health,4,3,4,5,3,4,3,4,4,time_focus;digital_habits,2,3,2,2,2,5,4,4,4,6,5,4,4,5,4,4,5,honesty;non_harm;accountability,35_44,employed_full_time,postgraduate_degree,uk,man,3,,,
yes,very_often,7,7,6,7,family;honesty_integrity;compassion,My family,7,7,7,3,7,7,2,4,4,health;work_career,4,3,2,2,5,7,4,4,3,4,4,3,2,7,7,7,7,honesty;non_harm;accountability,45_54,employed_part_time,high_school,au,woman,6,,,
yes,very_often,6,6,7,6,honesty_integrity;security_stability;responsibility,Responsibility,5,5,6,3,4,6,2,3,3,time_focus;digital_habits;purpose_direction,3,4,3,4,3,6,4,3,3,5,6,5,5,5,6,7,6,honesty;responsibility;human_wellbeing,over_65,not_currently_working,postgraduate_degree,uk,man,5,,,
yes,occasionally,6,7,5,6,family;honesty_integrity;security_stability,Stability and progression,6,6,5,2,5,5,2,5,5,time_focus;digital_habits,4,5,3,3,4,7,4,3,2,5,7,4,2,7,6,5,7,honesty;empathy;transparency,25_34,employed_full_time,bachelors_degree,uk,man,7,,,
yes,often,5,6,4,6,security_stability;health;independence,My physical and mental health,2,6,4,5,6,6,2,3,3,time_focus;work_career,4,4,4,4,4,5,2,4,2,5,4,5,2,4,4,5,7,responsibility;human_wellbeing;transparency,45_54,employed_part_time,bachelors_degree,ca,woman,5,,,
yes,occasionally,6,6,7,5,family;honesty_integrity;health,That my family remain healthy and honest to each other.,5,6,4,3,4,6,4,3,3,health;time_focus,4,5,3,2,3,6,2,2,2,3,2,1,2,6,5,4,6,honesty;responsibility;non_harm,55_65,other,postgraduate_degree,uk,man,6,,,
yes,very_often,3,3,2,3,security_stability;independence;responsibility,stability for my family,3,5,5,5,6,5,3,3,6,time_focus;relationships;work_career,3,4,2,2,3,5,3,3,3,5,6,5,5,3,5,6,6,honesty;empathy;responsibility,35_44,employed_full_time,bachelors_degree,uk,man,4,,,
yes,never,6,5,6,6,family;honesty_integrity;compassion,My family and friends,4,2,2,6,2,2,6,7,7,health;work_career;finances;purpose_direction,3,3,2,1,2,3,4,6,5,5,5,6,1,7,7,2,4,honesty;non_harm;transparency,25_34,not_currently_working,high_school,ca,man,3,,,
yes,often,5,3,5,5,honesty_integrity;health;creativity,The health of people I love,2,1,2,6,1,2,3,6,7,time_focus;relationships;work_career;purpose_direction,1,2,1,1,1,5,3,7,6,6,6,6,2,6,6,7,7,honesty;fairness;non_harm,35_44,employed_full_time,bachelors_degree,uk,woman,2,,Hobbies,
yes,never,7,7,7,7,family;faith_spirituality,God,7,5,5,5,4,7,1,4,1,time_focus,4,4,4,1,3,7,1,1,1,7,2,5,1,7,7,1,7,honesty;responsibility;accountability,55_65,other,high_school,us,woman,5,My country,,
yes,never,5,6,6,5,honesty_integrity;responsibility;adventure,My family,5,5,4,4,5,5,6,6,6,work_career;finances,3,2,3,1,3,5,6,6,6,6,5,6,5,6,6,7,7,honesty;fairness;human_wellbeing,55_65,employed_part_time,some_university_college,uk,woman,5,,,
yes,often,6,6,5,6,family;honesty_integrity;community_contribution,Family,6,6,6,2,6,6,3,3,4,work_career;finances,4,4,4,4,4,6,4,3,3,4,4,4,2,4,4,4,4,honesty;empathy;responsibility,35_44,employed_full_time,postgraduate_degree,ca,man,6,,,
yes,sometimes,6,6,6,6,family;responsibility;faith_spirituality,My family,6,6,6,2,6,6,2,2,2,health,4,4,3,3,3,5,2,3,3,4,3,2,3,6,3,5,5,honesty;fairness;transparency,35_44,employed_full_time,bachelors_degree,us,woman,5,,,
yes,sometimes,6,5,5,6,family;achievement_growth;security_stability,My family and friends matter most to me.,3,3,2,6,3,3,5,5,6,health;work_career;purpose_direction,3,3,4,2,3,6,2,5,3,7,6,5,3,5,6,6,7,honesty;responsibility;human_wellbeing,25_34,employed_full_time,bachelors_degree,ca,man,4,,,
yes,very_often,7,7,6,7,honesty_integrity;health;independence,my loved ones,7,5,7,1,6,6,2,1,1,work_career;digital_habits,4,5,2,3,4,7,1,1,1,2,1,1,4,4,3,1,4,honesty;respect;transparency,45_54,employed_part_time,some_university_college,uk,woman,6,,,
yes,sometimes,7,7,6,7,family;honesty_integrity;security_stability,my child matters most,7,6,4,3,5,7,1,1,1,relationships;work_career;purpose_direction,4,3,3,2,5,7,1,1,1,1,1,1,1,7,4,7,7,honesty;fairness;responsibility,45_54,employed_full_time,high_school,ca,woman,6,,,
yes,occasionally,6,6,6,6,family;honesty_integrity,family,5,5,4,5,4,6,2,4,3,none,3,3,2,2,3,5,4,5,5,6,5,5,3,7,6,7,7,empathy;non_harm;accountability,45_54,employed_part_time,bachelors_degree,uk,woman,5,,,
yes,everyday,6,6,6,6,family;independence;faith_spirituality,Having somthing to look forwards to and enjoy everyday,6,5,5,6,5,4,6,6,6,relationships;work_career,4,4,4,4,4,5,3,3,3,6,6,6,3,5,2,7,7,honesty;empathy;non_harm,55_65,employed_full_time,bachelors_degree,uk,man,6,,,
yes,very_often,6,5,7,5,family;honesty_integrity;health,My kids,5,5,5,6,1,6,1,5,7,health;finances;purpose_direction,3,2,1,1,3,6,2,5,2,5,5,3,4,4,3,4,6,honesty;non_harm;accountability,45_54,self_employed,some_university_college,uk,woman,4,,,
yes,often,6,6,5,6,family;achievement_growth;responsibility,family,6,5,5,2,6,5,2,3,2,digital_habits,4,4,3,4,4,6,2,2,1,4,4,3,4,5,4,3,4,fairness;transparency,45_54,employed_full_time,bachelors_degree,uk,man,6,,,
yes,very_often,6,7,5,6,family;honesty_integrity;health,Making sure myself and my family stay healthy,7,7,6,1,6,7,3,2,2,time_focus,4,5,2,3,5,7,2,1,2,2,2,2,4,6,3,5,7,responsibility;non_harm;accountability,55_65,employed_full_time,high_school,uk,man,7,,,
yes,often,7,6,6,7,family;compassion;creativity,"Feeling free and getting along with people, having the freedom to be creative",4,3,3,4,4,5,2,3,5,health;work_career;purpose_direction,3,2,2,1,2,6,4,6,2,6,4,5,2,6,5,6,7,fairness;respect;human_wellbeing,45_54,employed_part_time,high_school,uk,woman,3,,,
yes,often,7,7,5,6,family;achievement_growth;health,My family and their security.,7,7,7,1,7,6,1,1,1,digital_habits,4,4,5,4,5,7,1,1,1,1,1,1,3,6,2,4,3,non_harm;transparency;accountability,25_34,employed_full_time,bachelors_degree,uk,man,7,,,
yes,very_often,7,7,7,7,family;honesty_integrity;health,My wife and dog,7,5,6,2,6,6,2,2,2,finances,4,5,4,5,5,6,2,2,1,2,1,1,5,5,1,6,6,empathy;non_harm;accountability,35_44,employed_full_time,bachelors_degree,uk,man,7,,,
yes,occasionally,6,5,6,6,family;honesty_integrity;health,family,4,5,4,5,4,5,3,4,2,work_career,3,4,4,2,2,5,2,5,3,3,3,3,2,6,4,4,5,honesty;fairness;respect,55_65,employed_part_time,some_university_college,uk,woman,4,,,
yes,occasionally,6,6,6,6,family;health;independence,Family and health,3,4,4,4,4,5,2,2,2,health;relationships;finances,3,3,3,2,2,5,2,2,2,6,6,3,1,7,6,6,6,honesty;empathy;respect,25_34,employed_full_time,postgraduate_degree,uk,woman,4,,,
yes,occasionally,5,7,7,7,family;honesty_integrity;creativity,m family being happy,5,5,3,6,4,5,1,4,5,health;time_focus;work_career;digital_habits,2,3,1,2,2,5,7,5,3,7,4,5,2,4,6,7,7,honesty;empathy;human_wellbeing,35_44,not_currently_working,high_school,uk,woman,3,,,
yes,occasionally,6,6,6,7,family;honesty_integrity;compassion,That my children are happy and secure,6,5,5,1,4,7,2,4,3,health;time_focus,4,4,1,1,3,6,4,3,3,3,3,4,2,5,7,7,7,honesty;human_wellbeing;non_harm,over_65,not_currently_working,bachelors_degree,uk,man,6,,,
yes,sometimes,6,7,7,6,family;security_stability;independence,My family,6,6,5,2,6,6,2,4,4,digital_habits,4,4,3,3,4,5,5,3,3,5,5,3,1,7,6,7,7,honesty;non_harm;accountability,over_65,employed_part_time,high_school,uk,woman,5,,,
yes,sometimes,6,6,6,6,family;honesty_integrity;security_stability,Family and them being healthy and happy,4,4,3,2,2,6,2,6,5,health;finances,4,4,2,3,3,6,2,2,1,2,2,3,2,6,3,4,5,honesty;respect;transparency,35_44,employed_part_time,bachelors_degree,ca,woman,5,,,
yes,everyday,6,6,3,6,health;independence;adventure,Health,5,4,3,4,5,4,3,5,6,time_focus;relationships;work_career;digital_habits;finances;purpose_direction,4,4,2,4,3,4,5,2,5,6,5,5,6,4,4,6,4,honesty;non_harm;accountability,25_34,employed_part_time,bachelors_degree,ca,man,5,,,
yes,everyday,6,5,3,6,family;honesty_integrity;compassion,Making sure my family is being taken care of,5,6,5,2,5,7,1,2,1,finances,4,4,3,4,5,6,2,2,2,1,1,1,7,4,3,6,4,respect;transparency;accountability,55_65,employed_full_time,bachelors_degree,ca,man,6,,,
yes,sometimes,6,5,4,6,family;honesty_integrity;creativity,My family and personal creativity.,5,3,4,5,6,2,7,6,7,time_focus;work_career;finances,4,3,3,2,5,5,2,6,7,4,5,6,1,7,6,5,7,honesty;non_harm;transparency,25_34,employed_part_time,high_school,ca,man,5,,,
yes,sometimes,7,7,7,6,family;honesty_integrity;health,Family,5,5,3,2,3,6,1,3,3,health,4,4,1,1,3,6,5,5,2,4,6,3,4,6,6,6,6,empathy;non_harm;transparency,55_65,not_currently_working,bachelors_degree,uk,woman,5,,,
yes,never,7,6,6,7,achievement_growth;compassion;creativity,That everyone feels they're valued.,5,6,6,4,6,6,3,4,5,digital_habits;finances,4,4,3,5,4,6,2,1,4,6,5,5,1,7,6,3,4,fairness;transparency,25_34,employed_part_time,some_university_college,uk,woman,6,,,
yes,rarely,5,4,7,6,honesty_integrity;responsibility,My dog and my sister,3,5,4,6,5,4,2,3,3,work_career;purpose_direction,4,2,2,1,3,6,3,4,2,3,3,3,3,6,4,2,3,transparency,18_24,not_currently_working,some_university_college,nz,woman,3,,,
yes,often,5,5,6,6,family;honesty_integrity;compassion,Family,5,4,3,5,4,4,3,4,5,time_focus;digital_habits;finances,3,3,2,2,3,6,3,2,2,5,5,5,5,5,6,6,6,honesty;non_harm;transparency,35_44,employed_full_time,bachelors_degree,uk,man,5,,,
yes,sometimes,3,3,5,5,family;honesty_integrity;security_stability,financial stability,2,2,3,1,3,4,6,7,6,health;relationships,2,3,3,1,2,5,3,4,5,4,6,6,2,4,6,7,6,honesty;respect;human_wellbeing,45_54,employed_full_time,high_school,uk,man,3,,,
yes,sometimes,6,7,6,7,family;honesty_integrity;health,family,6,6,6,2,6,7,7,4,2,digital_habits,5,5,5,3,5,7,4,2,2,6,6,3,5,7,7,7,7,non_harm,55_65,employed_part_time,high_school,us,woman,7,,,
yes,often,5,5,6,6,family;security_stability;independence,my family,3,3,2,5,2,4,3,6,6,health;work_career;purpose_direction,2,1,2,2,2,4,4,5,5,5,3,5,4,5,5,5,6,honesty;responsibility;non_harm,55_65,employed_part_time,bachelors_degree,uk,woman,2,,,
yes,occasionally,6,6,5,6,family;honesty_integrity;independence,Family,6,5,6,2,5,6,3,5,3,work_career,4,4,4,2,3,6,2,3,3,5,4,3,5,5,5,6,6,honesty;human_wellbeing;transparency,55_65,self_employed,high_school,ca,man,6,,,
yes,occasionally,5,3,5,6,honesty_integrity;security_stability;independence,Freedom,3,2,1,7,3,2,5,4,7,health;time_focus;relationships;work_career;digital_habits;finances;purpose_direction,2,2,2,2,2,2,2,5,5,7,5,6,3,4,5,4,6,honesty;fairness;non_harm,45_54,employed_full_time,postgraduate_degree,uk,woman,3,,,
yes,everyday,5,6,6,6,family;security_stability;responsibility,Family,5,4,4,3,4,5,2,2,2,time_focus;digital_habits,3,3,3,2,2,5,4,3,2,5,4,3,4,3,4,4,5,empathy;responsibility;human_wellbeing,45_54,employed_full_time,bachelors_degree,uk,man,4,,,
yes,occasionally,6,6,6,6,family;security_stability;health,My family,6,6,6,2,6,6,2,2,2,none,4,5,4,4,4,6,2,6,2,5,2,2,3,6,5,4,6,honesty;responsibility;non_harm,55_65,employed_part_time,bachelors_degree,uk,woman,6,,,
yes,often,6,6,6,6,family;honesty_integrity;achievement_growth,My family,6,5,6,3,6,6,2,3,3,health,4,2,2,3,4,6,3,4,2,5,3,3,3,5,5,4,5,honesty;respect;responsibility,35_44,employed_full_time,high_school,uk,woman,5,,,
yes,often,5,5,3,4,family;security_stability;responsibility,My family - especially my children,5,5,5,5,4,5,3,6,5,health;relationships;digital_habits,3,3,2,2,3,6,4,4,4,6,5,5,5,4,3,4,5,honesty;fairness;non_harm,35_44,employed_full_time,postgraduate_degree,ie,woman,5,,,
yes,occasionally,6,5,5,4,family;security_stability;compassion,My children being safe,6,4,4,5,4,4,3,6,6,time_focus,4,3,2,1,3,3,5,7,6,4,3,5,3,7,7,4,5,honesty;non_harm;transparency,45_54,employed_full_time,postgraduate_degree,uk,woman,5,,,
yes,everyday,7,7,7,7,honesty_integrity;creativity;faith_spirituality,Being completely independent and off the grid. My faith in good.,7,7,7,1,7,7,1,4,4,health;relationships;finances,4,4,5,3,5,6,3,7,2,6,3,4,6,3,3,7,7,empathy;human_wellbeing;transparency,35_44,employed_part_time,some_university_college,us,man,6,,,
yes,everyday,7,7,7,6,family;honesty_integrity;health,"Staying healthy, connected, and enjoying meaningful time with the people I love.",7,7,7,1,7,7,1,1,1,health;relationships;work_career;finances;purpose_direction,4,4,4,4,4,7,1,1,1,1,1,1,1,7,4,7,7,honesty;fairness;human_wellbeing,over_65,employed_full_time,bachelors_degree,us,woman,7,,,
yes,occasionally,6,5,5,6,family;honesty_integrity;security_stability,My daughter,6,6,6,2,6,6,2,5,3,digital_habits,4,4,4,4,4,6,2,2,2,5,5,6,5,6,5,6,6,human_wellbeing;transparency;accountability,25_34,employed_full_time,bachelors_degree,uk,man,5,,,
